N,P,K,temperature,humidity,ph,rainfall,Season,Crop
60,51,36,22.69657794,82.81088865,6.028321557999999,256.9964761,Kharif,rice
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,Kharif,rice
93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,Kharif,rice
60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,Kharif,rice
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,Kharif,rice
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,Kharif,rice
71,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,Kharif,maize
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,Kharif,maize
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,Kharif,maize
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,Kharif,maize
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,Kharif,maize
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,Kharif,maize
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,Kharif,maize
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,Kharif,maize
76,44,17,20.41683147,62.55424820000001,5.855442401,65.27798457,Kharif,maize
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,Kharif,maize
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,Kharif,maize
90,49,21,24.84016732,68.3584573,6.4725232870000005,74.05474936,Kharif,maize
62,52,16,22.27526694,58.84015925,6.9670577620000005,63.87020584,Kharif,maize
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,Kharif,maize
66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,Kharif,maize
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,Kharif,maize
70,47,17,24.612911800000006,70.4162444,6.600827017,104.1626147,Kharif,maize
61,41,17,25.1420613,65.26185135,6.021902237000001,76.68456006,Kharif,maize
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,Kharif,maize
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,Kharif,maize
77,57,21,24.9321581,73.80435276,6.550563822999999,79.74078719,Kharif,maize
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,Kharif,maize
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,Kharif,maize
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,Kharif,maize
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,Kharif,maize
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,Kharif,maize
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,Kharif,maize
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,Kharif,maize
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,Kharif,maize
87,54,20,25.61707368,63.4711755,6.576418207000001,108.8303762,Kharif,maize
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,Kharif,maize
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,Kharif,maize
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,Kharif,maize
64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397,Kharif,maize
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,Kharif,maize
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,Kharif,maize
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,Kharif,maize
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,Kharif,maize
98,35,18,23.79746068,74.82913698,6.252797547999999,91.76337172,Kharif,maize
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,Kharif,maize
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,Kharif,maize
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,Kharif,maize
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,Kharif,maize
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,Kharif,maize
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,Kharif,maize
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,Kharif,maize
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,Kharif,maize
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,Kharif,maize
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,Kharif,maize
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,Kharif,maize
99,36,20,20.57981887,65.34583901,6.671085817000001,78.34604471,Kharif,maize
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,Kharif,maize
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,Kharif,maize
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,Kharif,maize
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,Kharif,maize
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,Kharif,maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,Kharif,maize
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,Kharif,maize
66,44,20,19.0781471,69.02298571,6.740000687999999,80.72515943,Kharif,maize
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,Kharif,maize
79,45,20,23.80546189,59.24537979,5.715208817000001,89.96220140000001,Kharif,maize
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,Kharif,maize
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,Kharif,maize
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,Kharif,maize
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,Kharif,maize
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,Kharif,maize
81,45,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177,Kharif,maize
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,Kharif,maize
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,Kharif,maize
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,Kharif,maize
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,Kharif,maize
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,Kharif,maize
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,Kharif,maize
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,Kharif,maize
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,Kharif,maize
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,Kharif,maize
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,Kharif,maize
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,Kharif,maize
63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139,Kharif,maize
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,Kharif,maize
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,Kharif,maize
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,Kharif,maize
60,57,24,18.66116213,61.55327249,6.1212940410000005,75.03247667,Kharif,maize
71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693,Kharif,maize
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,Kharif,maize
88,38,15,25.08239719,65.92195844,6.455116637000001,62.49190812,Kharif,maize
65,60,22,25.36768364,72.52054555,6.6069840860000015,107.9124111,Kharif,maize
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,Kharif,maize
78,58,15,25.00933355,67.816568,6.5286312660000005,62.91359494,Kharif,maize
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,Kharif,maize
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,Kharif,maize
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,Kharif,maize
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,Kharif,maize
87,48,25,18.65396672,61.37879671,6.656730007999999,93.62039175,Kharif,maize
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,Kharif,maize
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,Kharif,maize
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,Kharif,maize
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,Kharif,maize
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,Kharif,maize
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,Kharif,maize
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,Rabi,chickpea
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,Rabi,chickpea
39,58,85,17.88776475,15.40589717,5.9969320370000005,68.54932919,Rabi,chickpea
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,Rabi,chickpea
36,67,77,18.36952567,19.56381041,7.152811172000001,79.26357665,Rabi,chickpea
32,73,81,20.45078582,15.40312102,5.988992796000002,92.68373702,Rabi,chickpea
58,70,84,20.6543203,16.60820843,6.231049027999999,74.6631118,Rabi,chickpea
59,70,84,17.3348681,18.74926979,7.550808267000001,82.61734721,Rabi,chickpea
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,Rabi,chickpea
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,Rabi,chickpea
58,66,79,20.99373558,19.33470387,8.718192847000001,93.55280105,Rabi,chickpea
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,Rabi,chickpea
58,63,81,19.81344531,14.69765308,6.515499548999999,78.96514709,Rabi,chickpea
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,Rabi,chickpea
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,Rabi,chickpea
28,72,84,18.72963144,19.18197264,6.481783042999999,71.58010169,Rabi,chickpea
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,Rabi,chickpea
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,Rabi,chickpea
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,Rabi,chickpea
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,Rabi,chickpea
26,80,83,17.08498521,16.14565756,7.528599957000001,71.31007253,Rabi,chickpea
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,Rabi,chickpea
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,Rabi,chickpea
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,Rabi,chickpea
59,62,83,18.57665902,19.22008229,8.104396057999999,72.94940441,Rabi,chickpea
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,Rabi,chickpea
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,Rabi,chickpea
59,60,84,19.03025305,18.66725565,7.690962337999999,94.70992037,Rabi,chickpea
54,77,85,17.141861399999996,17.0662427,7.8292111439999985,83.74606679,Rabi,chickpea
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,Rabi,chickpea
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,Rabi,chickpea
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,Rabi,chickpea
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,Rabi,chickpea
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,Rabi,chickpea
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,Rabi,chickpea
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,Rabi,chickpea
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,Rabi,chickpea
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,Rabi,chickpea
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,Rabi,chickpea
54,61,77,18.81198127,15.21618225,6.206582192999999,77.54294240000002,Rabi,chickpea
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,Rabi,chickpea
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,Rabi,chickpea
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,Rabi,chickpea
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,Rabi,chickpea
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,Rabi,chickpea
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,Rabi,chickpea
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,Rabi,chickpea
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,Rabi,chickpea
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,Rabi,chickpea
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,Rabi,chickpea
43,79,79,19.40751744,18.98030507,7.8067476560000015,80.25064637,Rabi,chickpea
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,Rabi,chickpea
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,Rabi,chickpea
29,77,75,17.50361137,15.48083156,7.778591617999999,72.9446671,Rabi,chickpea
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,Rabi,chickpea
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,Rabi,chickpea
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,Rabi,chickpea
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,Rabi,chickpea
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,Rabi,chickpea
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,Rabi,chickpea
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,Rabi,chickpea
51,72,75,18.88852533,14.99451145,7.1042247970000005,80.11133840000002,Rabi,chickpea
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,Rabi,chickpea
22,64,82,19.48974337,17.17260319,6.4740245000000005,87.51312796,Rabi,chickpea
52,73,79,17.25769499,18.74943955,7.840339388999999,94.00287214,Rabi,chickpea
29,75,75,19.62416326,18.71483156,7.064790365,88.4585692,Rabi,chickpea
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,Rabi,chickpea
41,69,82,20.02381489,16.63294455,6.715587232000001,68.97806542,Rabi,chickpea
52,56,85,20.118744600000007,14.44228303,6.81712422,88.68168643,Rabi,chickpea
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,Rabi,chickpea
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,Rabi,chickpea
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,Rabi,chickpea
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,Rabi,chickpea
30,70,79,20.26942271,19.96978871,7.313122235,69.64449182,Rabi,chickpea
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,Rabi,chickpea
27,79,82,17.06579293,17.54024066,6.307004922999999,70.87150577,Rabi,chickpea
32,71,85,20.62767492,14.44008871,6.4039823160000005,92.06630306,Rabi,chickpea
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,Rabi,chickpea
33,75,84,19.46210401,18.72831993,7.217018459,68.81405149,Rabi,chickpea
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,Rabi,chickpea
54,62,80,17.48911699,16.39055394,7.489545074,79.45758333,Rabi,chickpea
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,Rabi,chickpea
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,Rabi,chickpea
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,Rabi,chickpea
45,61,78,19.48649305,16.06240074,6.489389282,81.52842690000001,Rabi,chickpea
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,Rabi,chickpea
30,75,81,19.41789736,16.80472243,6.4084378860000015,68.4951189,Rabi,chickpea
37,55,82,19.45591848,18.02235902,8.423873703,78.44910564,Rabi,chickpea
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,Rabi,chickpea
22,60,85,18.8392908,14.74071856,7.811997977000001,94.78189594,Rabi,chickpea
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,Rabi,chickpea
42,67,77,18.99424448,15.9362937,7.114405288,78.69707199,Rabi,chickpea
39,76,76,19.96837462,15.57324389,8.135900726000001,69.15759062,Rabi,chickpea
35,63,76,17.81564548,17.60756635,7.714153037999999,90.82097601,Rabi,chickpea
30,65,82,20.71424384,15.27824066,7.103798069,76.77888672,Rabi,chickpea
57,56,78,17.34150229,18.75626255,8.861479668,67.9545435,Rabi,chickpea
48,65,78,17.43732714,14.33847406,7.861128148,73.0926704,Rabi,chickpea
36,56,83,18.89780215,19.76182946,7.4526709,69.09512477,Rabi,chickpea
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,Rabi,chickpea
49,69,82,18.31561493,15.36143547,7.26311855,81.78710463,Rabi,chickpea
3,72,24,36.51268371,57.92887167,6.03160778,122.6539694,Kharif,pigeonpeas
40,59,23,36.89163721,62.73178224,5.269084669,163.7266551,Kharif,pigeonpeas
33,73,23,29.23540524,59.38967583,5.985792703,103.3301803,Kharif,pigeonpeas
27,57,24,27.33534897,43.35795962,6.09186275,142.33036769999995,Kharif,pigeonpeas
10,79,18,21.0643684,55.46985938,5.624731337999999,184.6226709,Kharif,pigeonpeas
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,Kharif,pigeonpeas
40,70,20,31.80130272,45.03186173,5.623490042999999,147.03614419999997,Kharif,pigeonpeas
38,55,19,33.18184225,38.23184742,5.864623352000001,198.8298806,Kharif,pigeonpeas
35,58,20,29.38538562,63.47742011,5.761702519,90.05422663,Kharif,pigeonpeas
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,Kharif,pigeonpeas
33,58,24,35.45790488,68.75810535,5.269504214,108.6333046,Kharif,pigeonpeas
16,56,17,33.80020039,40.03262418,7.445444882999999,176.6165894,Kharif,pigeonpeas
31,72,17,28.69180475,49.47225353,5.833031707999999,96.36222901,Kharif,pigeonpeas
16,80,20,31.24021696,56.67369054,7.3393209289999986,122.0146733,Kharif,pigeonpeas
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,Kharif,pigeonpeas
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,Kharif,pigeonpeas
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,Kharif,pigeonpeas
3,68,16,18.31910448,34.69776639,4.964887857,107.4721605,Kharif,pigeonpeas
26,67,24,36.97794384,37.73992903,5.642813116,161.48129630000005,Kharif,pigeonpeas
16,70,20,24.80467592,40.1242747,5.6093956,121.5639121,Kharif,pigeonpeas
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,Kharif,pigeonpeas
9,76,25,28.88302142,50.12323801,5.70951224,179.2155874,Kharif,pigeonpeas
16,55,19,19.54314136,47.19188279,6.413543781,192.4372194,Kharif,pigeonpeas
28,75,21,24.7741949,50.54621094,6.007508163,114.2821387,Kharif,pigeonpeas
16,71,24,18.33124824,38.40975482,4.946369874,139.64833169999997,Kharif,pigeonpeas
24,70,21,19.14729038,45.3733757,5.517208078,132.7748215,Kharif,pigeonpeas
38,72,21,28.23416057,49.4421345,5.902103172,186.5008581,Kharif,pigeonpeas
9,66,21,30.11812084,34.13307843,5.719889876,157.0858232,Kharif,pigeonpeas
34,56,17,33.4126864,35.42910045,4.548202098,139.6702541,Kharif,pigeonpeas
1,76,19,24.18553163,46.68746847,6.6695294160000005,177.3377996,Kharif,pigeonpeas
6,69,19,26.88630675,41.69617915,4.7509292180000005,94.46748008,Kharif,pigeonpeas
26,73,21,31.33170829,57.97429171,4.946263888,161.7820226,Kharif,pigeonpeas
27,61,18,33.30711818,67.07780816,5.266227032,108.5090168,Kharif,pigeonpeas
27,71,23,23.45379018,46.48714759,7.10959773,150.87122019999995,Kharif,pigeonpeas
36,61,21,34.53823889,39.04468913,5.617008201,168.5948318,Kharif,pigeonpeas
17,73,18,19.50112224,34.51086611,5.632353113,197.3752649,Kharif,pigeonpeas
26,72,22,28.76794904,37.57792132,4.674941549,91.72084869,Kharif,pigeonpeas
17,64,16,30.97758716,32.24914235,7.161797643,180.716828,Kharif,pigeonpeas
14,74,19,18.39759147,36.82639309,6.624966131,93.12330644,Kharif,pigeonpeas
39,60,15,35.09357419,30.98685456,5.004074623999999,116.9106908,Kharif,pigeonpeas
6,66,15,34.93174223,30.40046769,6.3458060110000005,159.2649827,Kharif,pigeonpeas
8,59,18,29.50523036,35.72032498,6.216814453,187.8961851,Kharif,pigeonpeas
2,67,18,34.51934775,47.52980027,5.921666758,129.0064612,Kharif,pigeonpeas
1,76,17,28.43430726,52.10010827,6.012719118,147.0414824,Kharif,pigeonpeas
16,73,19,18.41645629,34.80541039,4.684079249,163.27474730000003,Kharif,pigeonpeas
23,75,25,31.07508973,47.19847683,7.077170002000001,91.31256412,Kharif,pigeonpeas
32,70,20,20.89342749,46.24856523,6.208843215,195.5697875,Kharif,pigeonpeas
28,59,22,30.90607799,52.79913039,7.05181629,170.99198280000005,Kharif,pigeonpeas
